danceability,loudness,acousticness,release_decade,blues,country,hip hop,jazz,pop,reggae,rock,feelings,music,night/time,obscene,sadness,violence,world/life
0.3577385465179248,0.4541189139296976,0.9979919658553876,1950,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3317448283331528,0.64753993282568,0.9548192317462166,1950,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.4562980613018521,0.585288311155552,0.8403612855032989,1950,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6869923101917037,0.7444042765941081,0.0839348232277341,1950,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.2916711794649627,0.6464887316360279,0.9759035902646488,1950,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.689158453373768,0.6855882880804041,0.8985942756970641,1950,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3685692624282465,0.63369484398636,0.4357424053638608,1950,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.3793999783385682,0.529420813783555,0.925702736649334,1950,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.4963717101700423,0.6661795246519497,0.9748995731923428,1950,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6620816635979638,0.6431300156398225,0.9839357268430994,1950,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.6252572295028702,0.5331128374740404,0.9728915390477302,1950,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2656774612801906,0.6222598261672179,0.9889558122046308,1950,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.5223654283548144,0.528728559341589,0.8524094903709745,1950,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4692949203942381,0.7456605902110094,0.9216866683601088,1950,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.5505252897216506,0.6824090454580416,0.4959834297022387,1950,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.6360879454131919,0.6403353588185523,0.4839352248345631,1950,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.6350048738221598,0.6048765479578493,0.9919678634215496,1950,0,0,0,0,1,0,0,0,1,0,0,0,0,0
